ID,Text,target
954,im feeling a bit greedy,anger
955,i woke up feeling incredibly content amp optimistic today however i woke up with a terrible cold and a complete lack of energy,joy
956,i feel bitchy i guess,anger
957,i express the gene of this dominant voice it feels rather wonderful as if i were really this writer this poet who was so carefree and crazy,joy
958,i wish i didnt feel this afraid to talk to new people,fear
959,ive missed over a month of training and organised etape prep rides including the etape caledonia and am generally feeling pretty pissed off and depressed about the whole affair so have avoided thinking about it,anger
960,i feel like i could have gotten all apprehensive for no reason at all,fear
961,i feel angry at him for being so selfish and giving me absolutely nothing to go on,anger
962,i was feeling apprehensive about my journey because i would be using public transportation the whole way,fear
963,i feel like im too frickin uptight to let loose enough to love anyone else or more importantly myself,fear
964,i feel confident that we will be blessed with other children in the lords timing,joy
965,i am not in general feeling particularly virtuous this month,joy
966,i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger
967,i feel selfish but she would insist,anger
968,i am now feeling delighted to have a bigger definition of magic,joy
969,i feel like ive been in a more innocent version of a one night stand,joy
970,i take things very personally when i feel wronged even little memories stay with me,anger
971,i feeling suspicious i snooped computer,fear
972,i try to breathe in when i feel frustrated and breathe out the calm that i desire,anger
973,i was feeling grouchy and the old man has mentioned that retail therapy is great,anger
974,im getting the feeling that my classes are a little intimidated by the concept of a lit,fear
975,i know my best friend thinks i m a legend xd she tells me i m hilarious and a badass when most of the time i feel like a wimpy dork,fear
976,i think it s the easiest time of year to feel dissatisfied,anger
977,i feel more vulnerable,fear
978,i hate to feel threatened totally,fear
979,i sit here tonight i feel anxious,fear
980,i have been neglecting the feeling of people around me i was stubborn,anger
981,i ended up changing my clothes and laying in bed with my eyes closed for the next hour and eventually i started to feel better,joy
982,i have to admit i was feeling very skeptical,fear
983,i may be a bit late this year but im feeling very festive sat by the fire imagination its actually just a hot radiator,joy
984,i tired of hearing of these unique communications special feelings and how sincere you are,joy
985,i lie in bed my legs are in constant motion i feel i am out of control as they have to be shaken or tapped or just doing something,fear
986,im there i simply feel contented,joy
987,i feel far too distracted to actually write anything of substance,anger
988,i feel rather stressed for the preparations for prom night,anger
989,im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger
990,i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger
991,i would not knowingly wound the feelings of any not even one who may have wronged me but would seek to do him good and make him my friend,anger
992,i feel really honored and excited to have met her,joy
993,i keep feeling weird sensations img src http s,fear
994,i may be feeling more generous than normal but i really think a lot of teams did well in drafting good players at good spots and filling needs,joy
995,i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics,joy
996,i feel like we owe it to each other to be intelligent about our sexual decisions,joy
997,ive been feeling a little frantic recently because our summer together is flying by so quickly,fear
998,i feel quite rebellious actually,anger
999,i noticed several months ago that i d start feeling resentful as i walked toward a pedestrian crossing with the intention of course of crossing the road,anger
1000,i feel like im getting less intelligent more and more each day,joy
1001,i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear
1002,when my mother kept me in leadingstrings,anger
1003,im feeling every bit the spiteful vindictive bitch i can be at times,anger
1004,i feel i just couldn t be bothered with some of the things that used to keep me up at night,anger
1005,i would not feel hesitant in using the medical system again if needed,fear
1006,im feeling envious of my pregant co workers,anger
1007,i feel envious and embarrassed,anger
1008,im feeling like there are no casual dylan fans,joy
1009,i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear
1010,i feel really pissed off justanswer,anger
1011,i think you said beautiful things to them and i think you meant them you loved being with them i think you made them feel terrific,joy
1012,i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists,joy
1013,i have trusted mike with some deeply personal information and feelings and have delighted in seeing this trust rewarded in pragmatic advice and practical outcomes,joy
1014,i was feeling super pressed for time the other day i did cut back on the amount of time i meditated but i didn t skip it altogether,joy
1015,i admit to feeling slightly alarmed that her book was also based on olden sarawak and there seemed to be parallel plot lines to the jugra chronicles,fear
1016,i loathe it as a gamer said molyneux adding that it just makes me feel insulted,anger
1017,i breaking skin feels like and it s not pleasant,joy
1018,i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
1019,i am very fascinated by it and don t feel so uptight by the many challenges life has because of it,fear
1020,i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,joy
1021,i am especially interested in hearing your thoughts or perspective on what you read about how men and women feel respected or lived,joy
1022,i am feeling optimistic about doing as much as possible in the next to hours before the kids come home,joy
1023,i feel annoyed but its because im afraid i wont be able to speak well just like them,anger
1024,i feel kinda violent today,anger
1025,i did not feel frightened just frustrated that i wanted to go back to sleep but felt there were unfinished tasks i needed to attend to there wasn t other than to edit two articles on freud s dream of irma s injection which were near completion and have subsequently been posted on this blog,fear
1026,i was just not feeling up to it for a few reasons but i am so glad to be back,joy
1027,i feel so assured and doubtful at the same time,joy
1028,i was abruptly reminded of why i was feeling so agitated in la,fear
1029,i am still working through the guilt of feeling selfish for self preservation without the justification that i must survive to bring up my babies,anger
1030,i feel really tranquil where i am right now,joy
1031,im done with putting up with this constant bullying because that is what it is when you feel threatened and constantly on the defensive and i am tired of constantly defending myself to others,fear
1032,i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
1033,i suggested greys and blues with warm tones as the room is north facing and could feel quite cold and flat,anger
1034,i know that when i am feeling distraught or moody i can depend on you two to put a smile back on my face,fear
1035,i know that car enthusiasts are a bit tribal and youre all starting to feel suspicious about a car journalist whos turned to the dark side but dont worry i still prefer four wheels to two,fear
1036,i feel like if i was here long enough i would have my emotions back b c i could either be so stressed out by the people that i cant hide my emotions or that i would have my support back and feeling would be safe again esp without uw school work,anger
1037,i felt joy when i passed the worst phase in my life and discovered how many people considered me important to them,joy
1038,i feel that the father wants to tell you that he is pleased with you,joy
1039,i feel the show was a success for me and i am glad that i did it and i have decided that i will do pg live in may too so better get planning,joy
1040,i spend obsessing over my decisions and feeling anxious,fear
1041,i should feel complimented or insulted,anger
1042,ive got no brothers in the family i feel incredibly blessed to be gifted with sisters who drive me up the wall and who also happens to be the ones who make me feel most comfortable being myself,joy
1043,i read new risen throne once said cold amp desolate soundscapes that will leave you feeling utterly scared amp alone yes it is,fear
1044,i feel like i ve fucked up massively for not being able to fight off being suicidal,anger
1045,the patient whom i expected to get well suddenly passed away after he showed had his meals,anger
1046,i cant really understand my feeling cause its a mixture between bitter and a sour one which even i dont get,anger
1047,im really just here to write whats on my brain if you want to read it and tell me im crazy stupid boring awesome genius then feel free,joy
1048,i imagined its what zombies must feel like because each time i would wake up pissed,anger
1049,i consulted my aunt a doctor partially because i wanted counsel without copay but mostly because i had a feeling my doctors would be skeptical,fear
1050,i feel uncertain about,fear
1051,i feel pressured helpless because i dont have control over this,fear
1052,i was yelling to the group in front and not getting an answer and getting increasingly concerned and feeling increasingly frustrated with those lagging behind despite repeated explanations and pleas from me regarding the need to catch up with the advance group,anger
1053,i am feeling especially lively,joy
1054,i guess i sort of believe him but deep down i just feel unsure about the unknown,fear
1055,i often feel that working in it is like being a hopefully benevolent goliath that is often undone by the humblest of davids,joy
1056,i will probably do but for some reason i feel a bit agitated by it all,fear
1057,i feel like i get easily distracted in making things and switch around to many different projects throughout a week,anger
1058,ive spent way too much time feeling pain to the point that im frightened to leave myself open to it,fear
1059,i do not like feeling unsure and uncertain,fear
1060,i feel reluctant to share because my experiences feel incomplete especially now that my ideas are making a shift,fear
1061,i have no doubt they would dial feeling threatened,fear
1062,i feel that things i learn in my course so useful right now,joy
1063,i hurt their feelings for refusing to listen to their spiteful hurtful sniping at others,anger
1064,i ask you when folks park why do they feel it is smart to park with only or inches separating your car from the one in front or behind you,joy
1065,i feel a violent tug at my eye socket,anger
1066,i like that these type of assumptions because it makes me feels a bit more positive,joy
1067,i see women wearing boots i feel envious that i want to curse them,anger
1068,i sat there feeling frustrated that i didnt know about some of the different things ashton and isaac could have been involved in why werent the boys pro active about getting involved in more things and getting more awards,anger
1069,i really like how the special edition really does feel special with songs on it,joy
1070,i don t feel like i m being pressured to do anything and i don t feel like making love to my husband has any connection to the assaults and rapes,fear
1071,i also feel strongly about supporting the local economy so for the past years i am proud to have driven gm cars in a gm community,joy
1072,i couldn t feel anything other than some strange tugging so i was relieved to say the least,fear
1073,there was joy in me when i heard that i was to take a course as a medical assistant,joy
1074,i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,joy
1075,i feel kind of insecure here anyways back to doha,fear
1076,i love lots of different kinds of sports and love hanging out with my friends in my free time i also have an unhealthy up session with greys anatomy im feeling ecstatic about being in ty,joy
1077,i aint feeling it this is where been carefree deffinately is worrying in its self,joy
1078,i wished i could feel more energetic and deal with less pain but it might be my best option,joy
1079,im glad that peter doesnt feel threatened or concerned by my recent interest in decidedly egalitarian almost feminist christian blogs jonalyn finchers a href http soulation,fear
1080,i often feel fucked regardless,anger
1081,i go to the church service not youth i feel like im hated and i know im not the only one,anger
1082,i feel much more energetic generally im sleeping better and so is my wife,joy
1083,i was feeling so indecisive and blah,fear
1084,i started feeling festive a little early this year,joy
1085,i feel happy about myself hes the reason why i am where i am today,joy
1086,i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear
1087,i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger
1088,i have wasted entirely too much time feeling insecure about my body,fear
1089,im feeling virtuous i do a spinach feta cranberry salad with balsamic viniagrette,joy
1090,i didn t feel like i was popular but i did feel confident,joy
1091,i can pay the bills and still have some cash in the bank should leave me feeling pretty satisfied right,joy
1092,i feel quite uncertain that the art i create and my personal brand of creative living are what im here to contribute,fear
1093,i feel insulted that he doesnt know me better than that,anger
1094,i feel that some violent natures are generic,anger
1095,i feel it gives even more period feel and detail than sharpe and is certainly good enough to read cover to cover,joy
1096,i neither ask for nor deserve to feel frightened when any kook puts me in danger for any reason,fear
1097,the first day i visited the hospital i was disgusted because i experienced offensive smell which i never expected i nearly ran away from the course,anger
1098,i know at least one other person besides myself was feeling nervous and anxious about getting started,fear
1099,i could just feel the joy rage coming at me for that one but i m glad you re feeling back at it and i m also glad we went to yoga tonight because sometimes you just need to know that you re better than your crossfit coach at side plank img src http s,joy
1100,i feel like i meet the most subtly obnoxious annoying people in the universe,anger
1101,i feel so vulnerable to criticism like if my lunch stinks or if somebody comments on what i eat i have this embarrassed feeling,fear
1102,i feel kinda apprehensive,fear
1103,i feel almost angry that i have been fed like a lab rat for so many years,anger
1104,i started to feel resentful of the whole situation and that s when something clicked,anger
1105,i feel shy when people reading these but i am writing it here so brothers and sisters would see how real life works,fear
1106,i feel vulnerable as i did very much yesterday i cant say i felt a strong sense of self worth but maybe according to brown i could get better at accepting those vulnerable imperfect aspects of myself,fear
1107,im feeling a little apprehensive about this party,fear
1108,i experienced that feeling that people get when they are charmed or attracted to someone and that time was enough and a blessing in itself for me,joy
1109,im feeling pretty annoyed with the whole thing i decided to share those reasons we rejoice,anger
1110,i spent today working in my lawn and feel invigorated,joy
1111,i have been feeling so overwhelmed lately,fear
1112,im feeling aggravated listening to phoenix lost and found,anger
1113,i feel but is ultimately just ok,joy
1114,im feeling a tad rebellious right now,anger
1115,im feeling lately vulnerable impressionable and a little emotional,fear
1116,i normally associate with a tough workout moving from side to side in bed has become more of an effort my sleep is pretty interrupted and uncomfortable in general although much better with the aid of a benadryl and there are times when i feel like i could never be energetic again,joy
1117,i could not help feeling thatrupert meant to be rude to my father though his words were quite polite,anger
1118,i just go into these modes where i want to write then feel disgusted and do not what to write at all,anger
1119,i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger
1120,i feel like you re important to me,joy
1121,i feel spiteful for typing this but the first hand knowledge and statistics ive gone over regarding mormons and anti depressants is startling,anger
1122,i feel rude bring my own fridge i do eat food but i guess my option,anger
1123,i feel so tranquil right now its great,joy
1124,i break down and it leaves me feeling bitter,anger
1125,i feel so cute,joy
1126,i feel our hearts are treading dangerous territory,anger
1127,i couldnt feel thing however that kind of bothered me because i didnt feel it pop,anger
1128,i feel lucky that i have an awesome life and family even though i belong to a middle class,joy
1129,i feel petty and mean unemotional when im with her,anger
1130,i had to go to the gym so many times this last spring that i just kind of got used to feeling neurotic and then the neurotic feeling kind of went away,fear
1131,i still feel so agitated,anger
1132,i sort of feel a bit unsure now as to what to touch upon next,fear
1133,i get this strange feeling that even with people with whom im friendly im some sort of intellectual target which is getting rather annoying,joy
1134,i was in a really good mood at work and was feeling playful,joy
1135,i used to get the worthless feeling like i said previously my gear was going on ebay but now catch or not i m not bothered it is all about having a go i think a little more when fish are thin on the ground but not dejected or angry,anger
1136,i feel frustrated for her when i read those chapters,anger
1137,i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,fear
1138,i didn t feel alarmed at all,fear
1139,i tell myself that whenever i feel hesitant to start muay thai,fear
1140,i feel accepted as long as i am real and am not pious uppity and religious for the sake of religion,joy
1141,i do buy synthetic pearls when i feel the need to and i use these for some of my more elegant jewelry and trinkets,joy
1142,i dream of jeannie i could still feel the violent grip of his hands on my shoulders,anger
1143,i actually feel quite scared to get back to exercising because i feel like ive lost so much strength and condition and put on so much weight,fear
1144,ive gained wieght but i really would like to lose pounds to just feel like ive finally gotten to an acceptable happy place,joy
1145,i was feeling nervous sure just like anyone else would be in my position,fear
1146,i feel like everywhere i look a piece of my sweet boy is missing,joy
1147,im not sure jeremy will be feeling quite so friendly later when luka a href http blog,joy
1148,i feel the corners of my mouth curl into a triumphant grin,joy
1149,i had grand plans of baking through my two days off but i mostly ended up just curled up on the couch pouting about not feeling well,joy
1150,i stropped about for a bit feeling grumpy because i was missing out,anger
1151,i feel like ya allah im scared puff it was fun man then id an idea,fear
1152,i am feeling very cranky this christmas,anger
1153,i feel times less bitchy,anger
1154,i feel insulted whenever people say guys cant cry or feel emotional,anger
1155,i feel whos work is worthwhile in this world and actually makes me cry,joy
1156,i met them great people but i have a feeling i may have unintentionally offended them,anger
1157,ive reserved the right to feel all stubborn and powerless about it,anger
1158,i feel hateful of myself for being alone,anger
1159,i was tempted to feel a little bitter but then i saw this,anger
1160,i just wish i didnt feel like my roommates hated me half the time,anger
1161,i am feeling deeply offended big hurt feelings in fact,anger
1162,i had the feeling stubborn and ridiculous and possibly several more colourful turns of phrase as the children were all still asleep were on the tip of her tongue but she settled for heaving a sigh and turning to leave,anger
1163,i feel respected so his notions of feeling good or thinking good about someone become my notions of ensuring respect,joy
1164,i meet men who feel insecure about women,fear
1165,i cant sleep and re read happy posts and i go past the one about picnic day and i get so happy im like james you make me so happy i love you and then repeat as soon as i feel jealous,anger
1166,i do enjoy large bold prints and i suppose its odd im feeling timid about leopard,fear
1167,i feel nervous when anyone gets too close,fear
1168,im feeling a bit apprehensive about it as i dont know if my little note cards will stand out from the mass of talent on etsy,fear
1169,i shut the door but i didn t feel triumphant,joy
1170,im feeling intimidated by my own achievements,fear
1171,i just want him to see how it feels when he does something that i feel is obnoxious,anger
1172,we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,anger
1173,i can walk down another street and stop feeling helpless and hopeless,fear
1174,i tend to stop breathing when i m feeling stressed,anger
1175,i am responsible for picking a man who on occasion reminds me of people from my past like my mom and i threaten myself i can break this pattern by conducting myself in a different way even when i feel scared because deep down i know he s a good man,fear
1176,i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,anger
1177,i feel like i m on a roller coaster of craziness but i keep in mind that my throne is precious to my lady and i and i will do anything to keep it the way it is even if that means killing the people around me,joy
1178,i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,joy
1179,i now feel less doubtful towards that person about his her sincerity in rebuilding our relationship,fear
1180,i feel lots more energy i feel very impatient and irritable,anger
1181,i feel very carefree xd,joy
1182,i am feeling very shaky,fear
1183,i knew from high school and he s pretty fuckin chill says that the girl feels insulted and threatened by the blog that i wrote and would like me to apologize and if i offended her i m sorry,anger
1184,i was able to maintain physical and mental activity as well as have a necessary structure and routine without feeling pressured to overdo it,fear
1185,i feel cheated and wronged let down and spurned the vine i tended and nursed how could it do this to me,anger
1186,i had just eaten a particularly dreadful railway burger and so was feeling irritated before i even read his remarks hence my suggestion that he was only a so called environment secretary,anger
1187,i guess i feel that if i don t fulfill some of my artistic pursuits now i certainly won t have the time when the economy picks up,joy
1188,i am feeling so much love for my own mother and appreciative of all that she has done for me,joy
1189,i hate asking myself why i feel so reluctant when he tries to kiss me,fear
1190,ive had a rather average career because i decided to work less to earn less no rolex anywhere to be seen but have managed to write and even publish some of the short story collections and novels i have in my mind and on my drafts today i will feel successful,joy
1191,i feel creative right now and it makes me happy,joy
1192,i am feeling really confident moving into tomorrow as it will be the same juice smoothie and raw vegan meal menu routine,joy
1193,im feeling kinda shaky my mind is full of doubt good luck love you,fear
1194,i have a feeling she is going to be an amazing artist like her daddy and uncles,joy
1195,im feeling rather hostile over the whole hostel situation,anger
1196,i could already feel the difference in strength during technique class and three classes in i am starting to find my balance though it is still pretty shaky business,fear
1197,i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment,joy
1198,i feel only love yesterday it brought tears to my eyes to hear him say that today i realize that it was why it was so special to be with them i was surrounded by love,joy
1199,i feel that gulam ali is even more talented than many other classical singers,joy
1200,i am tired feeling overwhelmed and it seems like i am being assaulted from every direction i am not always at my best,fear
1201,i want or need to hear to make me feel valued,joy
1202,i am new to this so feels kind of strange but i will push through it,fear
1203,i hate all shopping when i feel rushed by hoards of people,anger
1204,im feeling doubtful about my writing dreams to know shes behind me,fear
1205,i remember feeling a bit confused and really questioned her saying that to me,fear
1206,i absolutely love this skinny fiber it is doing wonders for me and i feel fabulous,joy
1207,i answer feeling clever again,joy
1208,i began to feel a bit irritable and antsy,anger
1209,i feel another violent daydream coming up and i bet it has something to do with me getting my hands on a saint just costume,anger
1210,i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger
1211,im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger
1212,i was more irritable i went from having a million and one ideas to feeling like not being bothered from feeling inspired to feeling obligated,anger
1213,i feel violent wanna kill someone anyone or kiss them,anger
1214,i went to pick up the kids feeling scared and trembly and very self critical for my stupidity,fear
1215,i feel so vulnerable and yet so protective over her,fear
1216,i forgive myself that i have accepted and allowed myself to feel more than and superior when as i see perceive someone worshiping me for my progress instead of realising that i am defeating the whole point of process within doing so,joy
1217,i am not able to show that directly and so i feel suffocated and irritated,anger
1218,i feel like hes scared of a good thing and is sabotaging right now and maybe if i give him space hell come back but i feel like hes had so much space and still doesnt feel like its enough,fear
1219,i feel so contented just by relieving the scene in my mind,joy
1220,i notice a lump or feel pain in any part of my body i will somehow become fearful or scared,fear
1221,i was feeling restless no one was home and it was sunny outside,fear
1222,im not going to lie i feel a little insulted,anger
1223,i feel a creative mind brings more diversity and new thinking to any job,joy
1224,im not sure if the energy in trying to sew up the race to dubai and competing in the fedex cup has taken more out of me than maybe i thought because while i am feeling ok physically mentally i feel really tired he said,joy
1225,i feel we are getting into dangerous territory when we simply ignore the parts of the constitution we don t want to follow or create extra constitutional bureaucracies,anger
1226,i feel i am shy and i am afraid of keeping my point of view,fear
1227,i am right now i feel amused the sounds i hear are my aircleaner around me i see my bed and my cat i feel most connected to this person michael i think it s weird that im a mom,joy
1228,i joke about her leaving me or tell her that i know shes going to fall in love with the city the country the people and never come back theres a place deep in my mind parallel to the empty sick feeling in my stomach that is terrified she really wont come back,fear
1229,i feel more vulnerable and more in touch with my heart with making choices that are better for myself and my family and less worried about pleasing everyone else,fear
1230,i feel like im a violent mother,anger
1231,i just hope we can help him feel less afraid and more supported and loved,fear
1232,i feel like it only had created in me a more grumpy state at the meanness around me,anger
1233,i hate it i am feeling bothered by my boob size,anger
1234,i sometimes feel i am being stubborn not out of spite but rather in spite of myself,anger
1235,i was left feeling uncertain about exactly what pulse will offer as a series,fear
1236,i may not be completely sure on a lot of things but i am a very opinionated person and when i have opinions on something i feel very strongly about them and i can be very stubborn when it comes to them especially when it comes to politics,anger
1237,i am feeling so incredibly blessed for the life i have been given and the people that god has put in it,joy
1238,i feel an angel steal me from the greedy jaws of death and chance and pull me in with steady hands theyve given me a second chance the artist in the ambulance can we pick you off the ground more than flashing lights and sound,anger
1239,i don t feel superior to people who have made different choices or threatened by them,joy
1240,i actually feel inside which is so dangerous because apart from my shoulder i feel really amazing,anger
1241,i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it,anger
1242,i feel pretty terrified about letting down all those good people kind enough to support my work,fear
1243,i am feeling shaky and tired i feel like i do when i go on a long run without eating and come home and just really wanting a banana or some gatorade,fear
1244,i dont want to make a bad impression with my new co workers in both my job or my lab simply because i just feel so insecure and agitated all the time,fear
1245,i was feeling very offended at the line of questioning and almost walked out but i stuck around for some reason,anger
1246,i feel totally carefree with them around,joy
1247,im not feeling too joyful about writing this blog because id rather be knitting,joy
1248,i was a child i stole rmb from my grandfather maternal and i feel i exceptionally wronged him,anger
1249,i feel it is rude of me to ask,anger
1250,i feel about putting on brave faces fuck that let s get real,joy
1251,i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger
1252,i hate feeling so despised and detested by someone who i truly care for and completely love,anger
1253,i cannot help but feel inspired and uplifted both by martinez himself and by his association with occupy wall street,joy
1254,i dont really connect with the main character or anything in fact i feel like he is almost too innocent to be me,joy
1255,i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,joy
1256,i am feeling brave enough,joy
1257,i don t i risk feeling vulnerable the feeling that everyone is staring at me and examining every little dimple in my thigh and sag in my arm,fear
1258,i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,fear
1259,i am standing in my oversized tee shirt baggy yoga pants pulled up hair already semi sweat streaked from spin and am trying to feel graceful and sexy,joy
1260,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
1261,i feel she was wronged,anger
1262,i feel like i am not very smart,joy
1263,i just repeat it again and again until i feel myself become less afraid,fear
1264,i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy
1265,im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,fear
1266,i admit i walked into third wave cafe feeling a little apprehensive but what appeared to be a run of the mill cafe turned out to be a restaurant with great personality and even greater food,fear
1267,i didn t wish to be the president i hardly know these people and i got the feeling that they hated me for being quiet and not smiling,anger
1268,i will still feel insecure,fear
1269,i really shut myself off a lot at the end of my pregnancy when i was feeling even more irritable and anxious so maybe now i need to bounce back from that and get back to normal again,anger
1270,i attempt to convince others of what they should think and how they truly feel i become a title resentful href http en,anger
1271,i learned a lot from this little project if youre ever feeling intimidated by a diy project just go for it,fear
1272,i feel so glad,joy
1273,i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,joy
1274,i feel confused too,fear
1275,i have had since july st i am feeling shaken knowing i will be homeless in two months and as close to a home that i have is gone,fear
1276,i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,joy
1277,im feeling a little more hopeful about my future and like matty always says i want my world to get bigger,joy
1278,i was feeling pretty bitchy and horrible but dont worry,anger
1279,i feel that someone is being rude or has wrongly done something to me i lose it,anger
1280,i feel for these kids because you know theyre talented but i think one of the things with the whole american idol deal is that they grab a hold of you and you do what they tell you,joy
1281,i feel kind of talented right now lol hmmm,joy
1282,i have the capacity for great care and compassion as well as the ability to bite metaphorically speaking when i feel threatened,fear
1283,i made this i felt some relief from the fear and anxiety but i started feeling pissed again with a whole new set of memories,anger
1284,i should go to sleep but i m feeling reluctant to let go of the day,fear
1285,i can feel the cold wind,anger
1286,i feel pressured to say something,fear
1287,im feeling a bit bitchy tonight so i will be,anger
1288,i feel we re seeing now is a clash between those who are very alarmed at the changes in our planet and those who are rather laconic about the whole thing,fear
1289,i miss how safe and comfortable he made me feel and how vulnerable i was able to be with him because i knew he loved me,fear
1290,i can go from elated laughing to plunging back into my extreme misery at a simple exchange that it feels so dangerous now,anger
1291,i just feel like a smarter more well rounded person because of it,joy
1292,i met people from every corner of the globe so now when i am feeling restless and my finances will allow me i am can pick a spot see people that i really care about and have an adventure with them in their homelands,fear
1293,i have found the perfect remedy for anyone feeling stressed or conflicted about the future its the a href http www,anger
1294,i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger
1295,i really feel this way there is not a single day that has gone by that ive felt insecure with jerome,fear
1296,i feel the divine envelope me when i watch literally hundreds of faithful at mass in line for eucharist hundreds of people who include professors homeless bankers students rich poor mentally ill healthy conservatives liberals gay straight sweet rude arrogant kind,joy
1297,i feel like this little innocent helpless person needs me and i guess i like to be needed,joy
1298,i get a little gripped about timing i feel frantic in my thoughts,fear
1299,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy
1300,i feel thrilled with your presence in your eyes i feel the belief in peace in sincerity,joy
1301,i really lose a lot of my nesting homemaking instinct and desire when i am pregnant and the longer im pregnant the worse it gets though i do get about a month reprieve where i feel creative again around the six month mark and youll notice that is when i did a post for halloween,joy
1302,i feel like a lot of people are intimidated by false lashes because it seems like a largely unnecessary process during your makeup routine,fear
1303,i sometimes feel so vulnerable and so lost,fear
1304,im not feeling obnoxious with myself anymore,anger
1305,i feel selfish and self indulgent,anger
1306,i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,joy
1307,i feel insulted offended and hurt,anger
1308,i feel with the capacity of a producer and an actor someone like david would be far more accepted when he comes onscreen and shows boxing in a different light,joy
1309,i think sometimes feelings of obligation duty and expectation get in the way of trusting our intuition to guide us in the actual right direction,joy
1310,i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh,fear
1311,i reached down to feel what that strange sensation was and i felt something there,fear
1312,i am not thinking about a certain person before i sleep i end up having strange dreams about him and when i wake up after those dreams i feel shaken and stunned,fear
1313,i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger
1314,im feeling paranoid already,fear
1315,there was a cat on the street it had been run over and its head was open we passed beside it,anger
1316,i feel like im selfish,anger
1317,i still have cramps plus i get really dizzy when i stand up and my whole body is aching and i just generally feel extremely uncomfortable,fear
1318,i like that i don t feel pressured yet i like spending time with him,fear
1319,occured while preparing for a midterm in social welfare that i thought was going to be very hard and felt unprepared for,fear
1320,i get the feeling that people have died it s bothered me so much that in the past i ve cried my hair must look perfect whatever the weather all of this anxiety brings me to the end of my tether,anger
1321,i get the feeling that the rest of yall are a little appalled about it,anger
1322,i ask about his wife annulment case he feels so irritated and kept on telling me it is on the process,anger
1323,ive been feeling reluctant intermittent and lacklustre to pen my thoughts down,fear
1324,i feel cranky and annoyed when i dont,anger
1325,ill smoke a few cigarettes because im feeling a little nervous,fear
1326,i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,joy
1327,i feel like my go to emotion is angry,anger
1328,i just feel insecure so what should i do sis,fear
1329,i know i shouldn t feel offended but i do,anger
1330,i cant help but feel a little bit agitated,fear
1331,i feel their pain and its not pleasant,joy
1332,i only have to think about a high school experience and i instantly feel like that shy confused and terrorised teenager again,fear
1333,im feeling very petty right now,anger
1334,i feel like im tortured like years ago,fear
